City, Country
Samarinda, Indonesia
Larnaca, Cyprus
Paphos, Cyprus
Tel Aviv, Israel
Eilat, Israel
Ankara, Turkey
Adana, Turkey
Antalya, Turkey
Gaziantep, Turkey
Istanbul, Turkey
İzmir, Turkey
Dalaman, Turkey
Erzurum, Turkey
Trabzon, Turkey
Isparta, Turkey
Bodrum, Turkey
Istanbul, Turkey
Istanbul, Turkey
Manama, Bahrain
Ad Dammam, Saudi Arabia
Jeddah, Saudi Arabia
Medina, Saudi Arabia
Riyadh, Saudi Arabia
Tehran, Iran
Tehran, Iran
Mashhad, Iran
Shiraz, Iran
Tabriz, Iran
Amman, Jordan
Kuwait City, Kuwait
Beirut, Lebanon
Duqm, Oman
Al Masna'ah, Oman
Abu Dhabi, United Arab Emirates
Dubai, United Arab Emirates
Jebel Ali, United Arab Emirates
Sharjah, United Arab Emirates
Muscat, Oman
Sialkot, Pakistan
Baghdad, Iraq
Basrah, Iraq
Aleppo, Syrian Arab Republic
Damascus, Syrian Arab Republic
Latakia, Syrian Arab Republic
Doha, Qatar
Cagayan de Oro City, Philippines
Lal-lo, Philippines
Islamabad, Pakistan
Shang-I, Taiwan
Kaohsiung City, Taiwan
Taipei, Taiwan
Tokyo, Japan
Osaka, Japan
Chitose   Tomakomai, Japan
Fukuoka, Japan
Kagoshima, Japan
Tokoname, Japan
Makinohara   Shimada, Japan
Osaka, Japan
Tokyo, Japan
Fussa, Japan
Piseo-ri (Muan), Korea
Kunsan, Korea
Jeju City, Korea
Busan, Korea
Seoul, Korea
Seoul, Korea
Cheongju, Korea
Naha, Japan
Angeles Mabalacat, Philippines
Manila, Philippines
Davao City, Philippines
Lapu-Lapu City, Philippines
Tarsus, Turkey
Almaty, Kazakstan
Astana, Kazakstan
Bishkek, Kyrgyzstan
Karaganda, Kazakstan
Baku, Azerbaijan
Yerevan, Armenia
Tbilisi, Georgia
Khabarovsk, Russia
Novosibirsk, Russia
Yekaterinburg, Russia
Ashgabat, Turkmenistan
Tashkent, Uzbekistan
Mumbai, India
Vasco da Gama, India
Colombo, Sri Lanka
Phnom Penh, Cambodia
Siem Reap, Cambodia
Kolkata, India
Dhaka, Bangladesh
Hong Kong, Hong Kong
Amritsar, India
New Delhi, India
Macau, Macao
Kathmandu, Nepal
Bangalore, India
Kochi, India
Calicut, India
Hyderabad, India
Chennai, India
Thiruvananthapuram, India
Malé, Maldives
Bangkok, Thailand
Bangkok, Thailand
Chiang Mai, Thailand
Phuket, Thailand
Da Nang, Vietnam
Hanoi, Vietnam
Ho Chi Minh City, Vietnam
Mandalay, Myanmar
Yangon, Myanmar
Ujung Pandang-Celebes Island, Indonesia
Denpasar-Bali Island, Indonesia
Jayapura-Papua Island, Indonesia
Surabaya, Indonesia
Sorong-Papua Island, Indonesia
Bandar Seri Begawan, Brunei Darussalam
Jakarta, Indonesia
Kuala Lumpur, Malaysia
Singapore, Singapore
Yantai, China
Beijing, China
Beijing, China
Hohhot, China
Beijing, China
Tianjin, China
Taiyuan, China
Guangzhou, China
Changsha, China
Guilin City, China
Nanning, China
Shenzhen, China
Zhengzhou, China
Wuhan, China
Haikou, China
Sanya, China
Xi'an, China
Ulan Bator, Mongolia
Kunming, China
Xiamen, China
Fuzhou, China
Hangzhou, China
Jinan, China
Ningbo, China
Nanjing, China
Shanghai, China
Shanghai, China
Wenzhou, China
Chongqing, China
Guiyang, China
Chengdu, China
Ürümqi, China
Harbin, China
Dalian, China
Shenyang, China
